# BASE
# https://inspirehep.net/literature/1843024
# mass [eV]  g_ap [GeV^-1]
2.790570750847738e-9  1
2.790570750847738e-9  1.0198822576268193e-11
2.7905717847646705e-9  1.0384548911260333e-11
2.7905728186816035e-9  1.0280636804255337e-11
2.7905738525985355e-9  1.0897844805386205e-11
2.7905748865154685e-9  1.1309055598540661e-11
2.790575920432401e-9  1.1658981226310436e-11
2.7905769543493335e-9  1.1561651073672453e-11
2.7905779882662665e-9  1.129948146111964e-11
2.7905790221831985e-9  1.1638764974792542e-11
2.7905800561001315e-9  1.2372097070841097e-11
2.790581090017064e-9  1.2277739520962741e-11
2.7905821239339965e-9  1.1164743759401769e-11
2.7905831578509295e-9  1.1697727223625334e-11
2.7905841917678624e-9  1.1484932963967006e-11
2.7905852256847945e-9  1.125102952453278e-11
2.7905862596017275e-9  1.129950713295847e-11
2.79058729351866e-9  1.0948786038413581e-11
2.7905883274355925e-9  1.0344325722912718e-11
2.7905893613525254e-9  9.931781096403654e-12
2.790590395269458e-9  1.0257097679326282e-11
2.7905914291863905e-9  1.1298495911407425e-11
2.790592463103323e-9  1.4199143227021998e-11
2.7905934970202555e-9  1.4359183202638672e-11
2.7905945309371885e-9  1.5062131431389682e-11
2.790595564854121e-9  1.552524234512015e-11
2.7905965987710535e-9  1.531914536895507e-11
2.790597632687986e-9  1.8061788895350232e-11
2.790598666604919e-9  2.1933938701680842e-11
2.790599700521852e-9  1.8861886790895695e-11
2.790600734438784e-9  1.7224161865965972e-11
2.790601768355717e-9  1.8218395679033586e-11
2.7906028022726495e-9  1.8651450789993472e-11
2.790603836189582e-9  1.6185302649676406e-11
2.790604870106515e-9  1.194879718626034e-11
2.7906059040234474e-9  1.0662245202720751e-11
2.79060693794038e-9  1.0610343845398287e-11
2.7906079718573125e-9  1.0709243342452603e-11
2.790609005774245e-9  1.1060462781181832e-11
2.790610039691178e-9  1.0594480804726191e-11
2.79061107360811e-9  9.495891919423795e-12
2.790612107525043e-9  9.080612687821498e-12
2.7906131414419755e-9  8.590612272746634e-12
2.7906141753589084e-9  8.751732222294329e-12
2.7906152092758414e-9  9.276129178450447e-12
2.7906162431927735e-9  1.0009333900934822e-11
2.7906172771097064e-9  1.0403532119607781e-11
2.7906183110266394e-9  1.002329662771955e-11
2.7906193449435714e-9  9.560715054147422e-12
2.7906203788605044e-9  9.232123745551603e-12
2.7906214127774365e-9  9.146430426187037e-12
2.7906224466943694e-9  9.618442821404861e-12
