# TOORAD li	mits for material 1, eta = 1, Gamma = 1e-4 meV
# Columns:	DA mass [eV] | DA-photon coupling [GeV^-1]
0.00291805	1.00E+00
0.00291805	7.77E-11
0.00298839	7.36E-11
0.00306011	6.99E-11
0.0031331	6.65E-11
0.00320728	6.34E-11
0.00328258	6.05E-11
0.0033589	5.78E-11
0.00343619	5.54E-11
0.00351439	5.31E-11
0.00359342	5.10E-11
0.00367325	4.91E-11
0.00375381	4.73E-11
0.00383506	4.56E-11
0.00391697	4.40E-11
0.00399948	4.25E-11
0.00408256	4.11E-11
0.00416618	3.98E-11
0.00425031	3.86E-11
0.00433492	3.75E-11
0.00441997	3.64E-11
0.00450544	3.54E-11
0.00459132	3.45E-11
0.00467758	3.36E-11
0.00476419	3.27E-11
0.00485114	3.19E-11
0.00493841	3.12E-11
0.00502598	3.05E-11
0.00511385	2.98E-11
0.00520198	2.92E-11
0.00529038	2.86E-11
0.00537902	2.80E-11
0.0054679	2.75E-11
0.005557	2.70E-11
0.00564632	2.65E-11
0.00573583	2.60E-11
0.00582555	2.56E-11
0.00591544	2.52E-11
0.00600552	2.48E-11
0.00609576	2.44E-11
0.00618616	2.41E-11
0.00627672	2.38E-11
0.00636743	2.34E-11
0.00645828	2.32E-11
0.00654926	2.29E-11
0.00664038	2.26E-11
0.00673162	2.24E-11
0.00682297	2.21E-11
0.00691445	2.19E-11
0.00700603	2.17E-11
0.00709772	2.15E-11
0.00718952	2.13E-11
0.00728141	2.11E-11
0.0073734	2.10E-11
0.00746548	2.08E-11
0.00755764	2.07E-11
0.00764989	2.05E-11
0.00774222	2.04E-11
0.00783464	2.03E-11
0.00792712	2.02E-11
0.00801968	2.01E-11
0.00811231	2.00E-11
0.00820501	1.99E-11
0.00829778	1.98E-11
0.00839061	1.97E-11
0.0084835	1.96E-11
0.00857646	1.96E-11
0.00866947	1.95E-11
0.00876253	1.95E-11
0.00885565	1.94E-11
0.00894883	1.94E-11
0.00904205	1.94E-11
0.00913532	1.93E-11
0.00922865	1.93E-11
0.00932201	1.93E-11
0.00941543	1.93E-11
0.00950888	1.93E-11
0.00960238	1.93E-11
0.00969593	1.93E-11
0.00978951	1.93E-11
0.00988313	1.93E-11
0.00997678	1.93E-11
0.0100705	1.93E-11
0.0101642	1.93E-11
0.010258	1.93E-11
0.0103518	1.94E-11
0.0104456	1.94E-11
0.0105395	1.94E-11
0.0106334	1.94E-11
0.0107273	1.95E-11
0.0108212	1.95E-11
0.0109152	1.96E-11
0.0110092	1.96E-11
0.0111033	1.97E-11
0.0111974	1.97E-11
0.0112914	1.98E-11
0.0113856	1.98E-11
0.0114797	1.99E-11
0.0115739	2.00E-11
0.0116681	2.00E-11
0.0117623	2.01E-11
0.0118565	2.02E-11
0.0119508	2.02E-11
0.0120451	2.03E-11
0.0121394	2.04E-11
0.0122337	2.05E-11
0.012328	2.06E-11
0.0124224	2.06E-11
0.0125168	2.07E-11
0.0126112	2.08E-11
0.0127056	2.09E-11
0.0128	2.10E-11
0.0128945	2.11E-11
0.0129889	2.12E-11
0.0130834	2.13E-11
0.0131779	2.14E-11
0.0132724	2.15E-11
0.013367	2.16E-11
0.0134615	2.17E-11
0.0135561	2.18E-11
0.0136507	2.19E-11
0.0137453	2.20E-11
0.0138399	2.21E-11
0.0139345	2.23E-11
0.0140291	2.24E-11
0.0141238	2.25E-11
0.0142184	2.26E-11
0.0143131	2.27E-11
0.0144078	2.28E-11
0.0145025	2.30E-11
0.0145972	2.31E-11
0.0146919	2.32E-11
0.0147866	2.33E-11
0.0148814	2.35E-11
0.0149761	2.36E-11
0.0150709	2.37E-11
0.0151657	2.39E-11
0.0152605	2.40E-11
0.0153553	2.41E-11
0.0154501	2.43E-11
0.0155449	2.44E-11
0.0156397	2.45E-11
0.0157346	2.47E-11
0.0158294	2.48E-11
0.0159243	2.50E-11
0.0160191	2.51E-11
0.016114	2.52E-11
0.0162089	2.54E-11
0.0163038	2.55E-11
0.0163987	2.57E-11
0.0164936	2.58E-11
0.0165885	2.60E-11
0.0166834	2.61E-11
0.0167784	2.63E-11
0.0168733	2.64E-11
0.0169682	2.66E-11
0.0170632	2.67E-11
0.0171582	2.69E-11
0.0172531	2.70E-11
0.0173481	2.72E-11
0.0174431	2.74E-11
0.0175381	2.75E-11
0.0176331	2.77E-11
0.0177281	2.78E-11
0.0178231	2.80E-11
0.0179181	2.82E-11
0.0180131	2.83E-11
0.0181082	2.85E-11
0.0182032	2.87E-11
0.0182982	2.88E-11
0.0183933	2.90E-11
0.0184883	2.92E-11
0.0185834	2.93E-11
0.0186785	2.95E-11
0.0187735	2.97E-11
0.0188686	2.98E-11
0.0189637	3.00E-11
0.0190588	3.02E-11
0.0191539	3.04E-11
0.019249	3.05E-11
0.0193441	3.07E-11
0.0194392	3.09E-11
0.0195343	3.11E-11
0.0196294	3.12E-11
0.0197245	3.14E-11
0.0198197	3.16E-11
0.0199148	3.18E-11
0.0200099	3.20E-11
0.0201051	3.21E-11
0.0202002	3.23E-11
0.0202954	3.25E-11
0.0203905	3.27E-11
0.0204857	3.29E-11
0.0205808	3.31E-11
0.020676	3.33E-11
0.0207712	3.34E-11
0.0208664	3.36E-11
0.0209615	3.38E-11
0.0210567	3.40E-11
0.0211519	3.42E-11
0.0212471	3.44E-11
0.0212471	1.00E+00
