0.0000001	1 
0.0000001	6.34827E-13	   
0.001	6.34827E-13	   
0.002	6.35226E-13	   
0.003	6.37037E-13	   
0.004	6.41971E-13	   
0.005	6.52044E-13	   
0.006	6.68891E-13	   
0.007	6.92459E-13	   
0.008	7.19646E-13	   
0.009	7.45106E-13	   
0.01	7.64354E-13	   
0.011	7.79336E-13	   
0.012	8.02009E-13	   
0.013	8.43918E-13	   
0.014	8.9551E-13	   
0.015	9.34018E-13	   
0.016	9.59005E-13	   
0.017	9.96178E-13	   
0.018	1.064E-12	   
0.019	1.13978E-12	   
0.02	1.19058E-12	   
0.022	1.17765E-12	   
0.023	1.15436E-12	   
0.024	1.15193E-12	   
0.025	1.16446E-12	   
0.026	1.2086E-12	   
0.027	1.23498E-12	   
0.028	1.22644E-12	   
0.029	1.21255E-12	   
0.03	1.21096E-12	   
0.031	1.21367E-12	   
0.032	1.20705E-12	   
0.033	1.17765E-12	   
0.034	1.13496E-12	   
0.035	1.149E-12	   
0.036	1.15495E-12	   
0.037	1.1527E-12	   
0.038	1.17871E-12	   
0.039	1.24234E-12	   
0.04	1.1644E-12	   
0.041	1.15424E-12	   
0.042	1.14882E-12	   
0.043	1.16658E-12	   
0.044	1.20095E-12	   
0.045	1.24097E-12	   
0.046	1.27023E-12	   
0.047	1.27884E-12	   
0.048	1.26469E-12	   
0.049	1.23541E-12	   
0.05	1.1989E-12	   
0.051	1.15918E-12	   
0.052	1.12729E-12	   
0.053	1.11398E-12	   
0.054	1.12519E-12	   
0.055	1.15813E-12	   
0.056	1.1954E-12	   
0.057	1.21463E-12	   
0.058	1.24149E-12	   
0.059	1.27884E-12	   
0.06	1.32717E-12	   
0.061	1.38258E-12	   
0.062	1.46379E-12	   
0.063	1.33243E-12	   
0.064	1.38093E-12	   
0.065	1.34636E-12	   
0.066	1.21646E-12	   
0.067	1.19214E-12	   
0.068	1.16773E-12	   
0.069	1.17949E-12	   
0.07	1.2257E-12	   
0.071	1.19289E-12	   
0.072	1.19652E-12	   
0.073	1.19503E-12	   
0.074	1.20736E-12	   
0.075	1.22727E-12	   
0.076	1.25117E-12	   
0.077	1.26541E-12	   
0.078	1.29472E-12	   
0.079	1.32106E-12	   
0.08	1.45466E-12	   
0.081	1.44014E-12	   
0.082	1.38738E-12	   
0.083	1.36376E-12	   
0.084	1.38052E-12	   
0.085	1.39481E-12	   
0.086	1.40907E-12	   
0.087	1.42455E-12	   
0.088	1.43954E-12	   
0.089	1.46205E-12	   
0.09	1.47932E-12	   
