0	1
0	4.91329E-13	   
0.001	4.91329E-13	   
0.002	4.91472E-13	   
0.003	4.92284E-13	   
0.004	4.94509E-13	   
0.005	4.98915E-13	   
0.006	5.06083E-13	   
0.007	5.15342E-13	   
0.008	5.25308E-13	   
0.009	5.37759E-13	   
0.01	5.59051E-13	   
0.011	5.88604E-13	   
0.012	6.21504E-13	   
0.013	6.54774E-13	   
0.014	6.88174E-13	   
0.015	7.26739E-13	   
0.016	7.68796E-13	   
0.017	8.0703E-13	   
0.018	8.37373E-13	   
0.019	8.65649E-13	   
0.02	8.96805E-13	   
0.021	9.37901E-13	   
0.022	9.82082E-13	   
0.023	1.01164E-12	   
0.024	1.02776E-12	   
0.025	1.04091E-12	   
0.026	1.04516E-12	   
0.027	1.03775E-12	   
0.028	1.0227E-12	   
0.029	1.014E-12	   
0.03	1.0353E-12	   
0.031	1.07771E-12	   
0.032	1.09397E-12	   
0.033	1.08533E-12	   
0.034	1.06716E-12	   
0.035	1.16029E-12	   
0.036	1.18712E-12	   
0.037	1.18956E-12	   
0.038	1.16348E-12	   
0.039	1.14942E-12	   
0.04	1.18351E-12	   
0.041	1.15068E-12	   
0.042	1.19037E-12	   
0.043	1.2031E-12	   
0.044	1.17441E-12	   
0.045	1.16938E-12	   
0.046	1.18335E-12	   
0.047	1.15854E-12	   
0.048	1.1205E-12	   
0.049	1.05351E-12	   
0.05	1.07199E-12	   
0.051	1.09314E-12	   
0.052	1.08802E-12	   
0.053	1.05944E-12	   
0.054	1.04492E-12	   
0.055	1.06211E-12	   
0.056	1.06596E-12	   
0.057	1.05226E-12	   
0.058	1.0434E-12	   
0.059	1.04786E-12	   
0.06	1.05891E-12	   
0.061	1.0566E-12	   
0.062	1.04683E-12	   
0.063	1.04865E-12	   
0.064	1.0637E-12	   
0.065	1.06461E-12	   
0.066	1.04849E-12	   
0.067	1.06828E-12	   
0.068	1.1066E-12	   
0.069	1.10974E-12	   
0.07	1.13984E-12	   
0.071	1.20721E-12	   
0.072	1.23197E-12	   
0.073	1.24101E-12	   
0.074	1.2508E-12	   
0.075	1.24744E-12	   
0.076	1.16336E-12	   
0.077	1.23796E-12	   
0.078	1.2431E-12	   
0.079	1.21346E-12	   
0.08	1.26108E-12	   
0.081	1.26756E-12	   
0.082	1.25191E-12	   
0.083	1.28966E-12	   
0.084	1.29806E-12	   
0.085	1.30038E-12	   
0.086	1.32888E-12	   
0.087	1.33381E-12	   
0.088	1.35022E-12	   
0.089	1.36988E-12	   
0.09	1.37858E-12	   
0.091	1.39642E-12	   
0.092	1.4114E-12	   
0.093	1.42618E-12	   
0.094	1.44257E-12	   
0.095	1.45749E-12	   
0.096	1.47162E-12	   
0.097	1.48889E-12	   
0.098	1.50441E-12	   
0.099	1.51863E-12	   
0.1	1.53629E-12	   
0.101	1.54956E-12	   
0.102	1.56829E-12	   
0.103	1.58114E-12	   
0.104	1.59915E-12	   
0.105	1.61467E-12	   
0.106	1.62975E-12	   
0.107	1.64581E-12	   
0.108	1.66087E-12	   
0.109	1.67884E-12	   
0.11	1.69453E-12	   
0.111	1.71067E-12	   
0.112	1.72637E-12	   
0.113	1.74144E-12	   
0.114	1.75775E-12	   
0.115	1.77335E-12	   
0.116	1.79134E-12	   
0.117	1.80683E-12	   
0.118	1.8241E-12	   
0.119	1.83902E-12	   
0.12	1.85586E-12	   
0.121	1.8696E-12	   
0.122	1.88781E-12	   
0.123	1.90509E-12	   
0.124	1.92171E-12	   
0.125	1.93711E-12	   
0.126	1.95313E-12	   
0.127	1.96876E-12	   
0.128	1.98477E-12	   
0.129	2.00258E-12	   
0.13	2.02028E-12	   
0.131	2.03495E-12	   
0.132	2.05234E-12	   
0.133	2.06732E-12	   
0.134	2.08392E-12	   
0.135	2.10076E-12	   
0.136	2.11797E-12	   
0.137	2.13417E-12	   
0.138	2.15045E-12	   
0.139	2.16823E-12	   
0.14	2.1846E-12	   
0.141	2.20089E-12	   
0.142	2.21642E-12	   
0.143	2.2336E-12	   
0.144	2.25025E-12	   
0.145	2.2673E-12	   
0.146	2.28446E-12	   
0.147	2.30064E-12	   
0.148	2.31813E-12	   
0.149	2.33431E-12	   
0.15	2.34972E-12	   
0.151	2.36406E-12	   
0.152	2.37086E-12	   
0.153	2.40317E-12	   
0.154	2.41956E-12	   
0.155	2.43543E-12	   
0.156	2.45297E-12	   
0.157	2.4713E-12	   
0.158	2.48999E-12	   
0.159	2.50826E-12	   
0.16	2.52288E-12	   
0.161	2.53904E-12	   
0.162	2.55977E-12	   
0.163	2.58102E-12	   
0.164	2.60275E-12	   
0.165	2.62555E-12	   
0.166	2.68132E-12	   
0.167	3.43908E-12	   
0.168	5.22257E-12	   
0.169	5.88236E-12	   
0.17	6.32457E-12	   
0.171	6.65076E-12	   
0.172	6.88131E-12	   
0.173	7.01458E-12	   
0.174	7.14705E-12	   
0.175	7.4125E-12	   
0.176	7.61025E-12	   
0.177	7.73479E-12	   
0.178	7.74363E-12	   
0.179	7.72187E-12	    
0.18	7.97678E-12	   
0.181	8.11899E-12	   
0.182	8.21943E-12	   
0.183	8.25211E-12	   
0.184	8.19314E-12	   
0.185	8.41495E-12	   
0.186	8.45406E-12	   
0.187	8.61291E-12	   
0.188	8.61349E-12	   
0.189	8.64826E-12	   
0.19	8.70133E-12	   
0.191	8.83398E-12	   
0.192	9.07668E-12	   
0.193	8.94273E-12	   
0.194	8.95728E-12	   
0.195	8.93543E-12	   
0.196	9.13393E-12	   
0.197	9.36322E-12	   
0.198	9.47817E-12	   
0.199	9.4549E-12	   
0.2	9.25893E-12	   
0.201	9.17713E-12	   
0.202	9.22922E-12	   
0.203	9.56236E-12	   
0.204	9.74898E-12	   
0.205	9.85304E-12	   
0.206	1.00415E-11	   
0.207	9.69873E-12	   
0.208	9.76502E-12	   
0.209	9.85615E-12	   
0.21	9.8709E-12	   
0.211	1.04097E-11	   
0.212	1.0275E-11	   
0.213	1.02736E-11	   
0.214	1.02377E-11	   
0.215	1.00788E-11	   
0.216	1.04984E-11	   
0.217	1.04932E-11	   
0.218	1.05949E-11	   
0.219	1.05533E-11	   
0.22	1.06223E-11	   
0.221	1.07792E-11	   
0.222	1.08218E-11	   
0.223	1.08685E-11	   
0.224	1.07661E-11	   
0.225	1.08511E-11	   
0.226	1.09929E-11	   
0.227	1.1099E-11	   
0.228	1.12075E-11	   
0.229	1.10783E-11	   
0.23	1.10607E-11	   
0.231	1.12985E-11	   
0.232	1.12798E-11	   
0.233	1.14044E-11	   
0.234	1.13191E-11	   
0.235	1.12653E-11	   
0.236	1.1559E-11	   
0.237	1.15094E-11	   
0.238	1.16401E-11	   
0.239	1.17647E-11	   
0.24	1.15348E-11	   
0.241	1.18399E-11	   
0.242	1.18712E-11	   
0.243	1.18588E-11	   
0.244	1.19854E-11	   
0.245	1.17427E-11	   
0.246	1.2082E-11	   
0.247	1.22199E-11	   
0.248	1.21524E-11	   
0.249	1.24594E-11	   
0.25	1.22346E-11	   
0.251	1.22386E-11	   
0.252	1.2541E-11	   
0.253	1.22289E-11	   
0.254	1.25008E-11	   
0.255	1.25628E-11	   
0.256	1.26181E-11	   
0.257	1.30366E-11	   
0.258	1.27675E-11	   
0.259	1.25251E-11	   
0.26	1.25853E-11	   
0.261	1.27646E-11	   
0.262	1.31206E-11	   
0.263	1.30895E-11	   
0.264	1.30921E-11	   
0.265	1.28659E-11	   
0.266	1.29654E-11	   
0.267	1.32531E-11	   
0.268	1.32262E-11	   
0.269	1.31034E-11	   
0.27	1.32621E-11	   
0.271	1.32806E-11	   
0.272	1.34626E-11	   
0.273	1.32742E-11	   
0.274	1.33538E-11	   
0.275	1.36463E-11	   
0.276	1.37437E-11	   
0.277	1.39585E-11	   
0.278	1.37837E-11	   
0.279	1.34546E-11	   
0.28	1.35419E-11	   
0.281	1.39244E-11	   
0.282	1.43474E-11	   
0.283	1.42603E-11	   
0.284	1.39072E-11	   
0.285	1.38285E-11	   
0.286	1.39491E-11	   
0.287	1.44939E-11	   
0.288	1.45485E-11	   
0.289	1.42159E-11	   
0.29	1.41606E-11	   
0.291	1.41842E-11	   
