0	1 
0	2.92686E-13	   
0.001	2.92686E-13	   
0.002	2.92813E-13	   
0.003	2.93574E-13	   
0.004	2.95741E-13	   
0.005	3.0016E-13	   
0.006	3.07407E-13	   
0.007	3.1738E-13	   
0.008	3.29194E-13	   
0.009	3.42612E-13	   
0.01	3.57978E-13	   
0.011	3.75056E-13	   
0.012	3.93455E-13	   
0.013	4.12834E-13	   
0.014	4.32789E-13	   
0.015	4.5263E-13	   
0.016	4.70868E-13	   
0.017	4.87007E-13	   
0.018	5.01278E-13	   
0.019	5.12705E-13	   
0.02	5.21462E-13	   
0.021	5.28417E-13	   
0.022	5.33618E-13	   
0.023	5.371E-13	   
0.024	5.39034E-13	   
0.025	5.40912E-13	   
0.026	5.42307E-13	   
0.027	5.43267E-13	   
0.028	5.44221E-13	   
0.029	5.45381E-13	   
0.03	5.46639E-13	   
0.031	5.47922E-13	   
0.032	5.49299E-13	   
0.033	5.50768E-13	   
0.034	5.51988E-13	   
0.035	5.53302E-13	   
0.036	5.54606E-13	   
0.037	5.56331E-13	   
0.038	5.5957E-13	   
0.039	5.66794E-13	   
0.04	5.85343E-13	   
0.041	6.29266E-13	   
0.042	6.41842E-13	   
0.043	6.54125E-13	   
0.044	6.66523E-13	   
0.045	6.77827E-13	   
0.046	6.90534E-13	   
0.047	7.05767E-13	   
0.048	7.22496E-13	   
0.049	7.39154E-13	   
0.05	7.54914E-13	   
0.051	7.70044E-13	   
0.052	7.84567E-13	   
0.053	7.98905E-13	   
0.054	8.13442E-13	   
0.055	8.28801E-13	   
0.056	8.44447E-13	   
0.057	8.60342E-13	   
0.058	8.76181E-13	   
0.059	8.91718E-13	   
0.06	9.07458E-13	   
0.061	9.23345E-13	   
0.062	9.39221E-13	   
0.063	9.54016E-13	   
0.064	9.68154E-13	   
0.065	9.82849E-13	   
0.066	9.99292E-13	   
0.067	1.01678E-12	   
0.068	1.03267E-12	   
0.069	1.04643E-12	   
0.07	1.06128E-12	   
0.071	1.07872E-12	   
0.072	1.09487E-12	   
0.073	1.10921E-12	   
0.074	1.12596E-12	   
0.075	1.14205E-12	   
0.076	1.15631E-12	   
0.077	1.17396E-12	   
0.078	1.18891E-12	   
0.079	1.20367E-12	   
0.08	1.22113E-12	   
0.081	1.23584E-12	   
0.082	1.25339E-12	   
0.083	1.26738E-12	   
0.084	1.28523E-12	   
0.085	1.30005E-12	   
0.086	1.3171E-12	   
0.087	1.33151E-12	   
0.088	1.34829E-12	   
0.089	1.36447E-12	   
0.09	1.37941E-12	   
0.091	1.39655E-12	   
0.092	1.41218E-12	   
0.093	1.42843E-12	   
0.094	1.44547E-12	   
0.095	1.46077E-12	   
0.096	1.47684E-12	   
0.097	1.49295E-12	   
0.098	1.50919E-12	   
0.099	1.52493E-12	   
0.1	1.54098E-12	   
0.101	1.55704E-12	   
0.102	1.57429E-12	   
0.103	1.59144E-12	   
0.104	1.60709E-12	   
0.105	1.62324E-12	   
0.106	1.63908E-12	   
0.107	1.65536E-12	   
0.108	1.67109E-12	   
0.109	1.68746E-12	   
0.11	1.70387E-12	   
0.111	1.72068E-12	   
0.112	1.7373E-12	   
0.113	1.75371E-12	   
0.114	1.77125E-12	   
0.115	1.78753E-12	   
0.116	1.80287E-12	   
0.117	1.81928E-12	   
0.118	1.83644E-12	   
0.119	1.85221E-12	   
0.12	1.86893E-12	   
0.121	1.88586E-12	   
0.122	1.90235E-12	   
0.123	1.92007E-12	   
0.124	1.93631E-12	   
0.125	1.95332E-12	   
0.126	1.96933E-12	   
0.127	1.98477E-12	   
0.128	2.00186E-12	   
0.129	2.01852E-12	   
0.13	2.03495E-12	   
0.131	2.05217E-12	   
0.132	2.06946E-12	   
0.133	2.08713E-12	   
0.134	2.10405E-12	   
0.135	2.11919E-12	   
0.136	2.13701E-12	   
0.137	2.15264E-12	   
0.138	2.16866E-12	   
0.139	2.186E-12	   
0.14	2.20293E-12	   
0.141	2.22082E-12	   
0.142	2.23711E-12	   
0.143	2.25598E-12	   
0.144	2.2729E-12	   
0.145	2.28884E-12	   
0.146	2.30446E-12	   
0.147	2.32186E-12	   
0.148	2.33899E-12	   
0.149	2.35453E-12	   
0.15	2.3726E-12	   
0.151	2.38782E-12	   
0.152	2.39208E-12	   
0.153	2.42458E-12	   
0.154	2.44265E-12	   
0.155	2.46043E-12	   
0.156	2.47592E-12	   
0.157	2.49262E-12	   
0.158	2.5101E-12	   
0.159	2.52794E-12	   
0.16	2.544E-12	   
