# Cylindrical 8 cell cavity haloscope
# July 2025
# https://arxiv.org/pdf/2507.04344
# mass [eV]; photon coupling [GeV-1]
2.410911e-5; 1
2.410987e-5; 2.165635e-14
2.411095e-5; 1.385131e-14
2.411095e-5; 1.291740e-14
2.411288e-5; 1.157082e-14
2.411509e-5; 1.116541e-14
2.411734e-5; 1.155531e-14
2.412049e-5; 1.168610e-14
2.412142e-5; 1.092167e-14
2.412475e-5; 1.151924e-14
2.412692e-5; 1.119436e-14
2.412980e-5; 1.147381e-14
2.413340e-5; 1.142314e-14
2.413758e-5; 1.128848e-14
2.414124e-5; 1.186765e-14
2.414155e-5; 1.101115e-14
2.414497e-5; 1.112495e-14
2.414904e-5; 1.117554e-14
2.415211e-5; 1.135197e-14
2.415355e-5; 1.272193e-14
2.415365e-5; 1.102785e-14
2.415600e-5; 1.127400e-14
2.415751e-5; 1.091684e-14
2.416038e-5; 1.113283e-14
2.416224e-5; 1.078894e-14
2.416572e-5; 1.085989e-14
2.416918e-5; 1.079278e-14
2.417100e-5; 1.200279e-14
2.417112e-5; 1.324318e-14
2.417135e-5; 1.422777e-14
2.417232e-5; 1.060216e-14
2.417403e-5; 1.099745e-14
2.417755e-5; 1.143906e-14
2.417905e-5; 1.180973e-14
2.418163e-5; 1.086496e-14
2.418584e-5; 1.114658e-14
2.418948e-5; 1.105391e-14
2.419153e-5; 1.298255e-14
2.419353e-5; 1.151808e-14
2.419392e-5; 1.065696e-14
2.419419e-5; 9.833312e-15
2.419761e-5; 1.122875e-14
2.420009e-5; 1.162262e-14
2.420329e-5; 1.107750e-14
2.420532e-5; 1.185627e-14
2.420782e-5; 1.106795e-14
2.421130e-5; 1.155779e-14
2.421204e-5; 1.084620e-14
2.421577e-5; 1.127933e-14
2.421966e-5; 1.142086e-14
2.422378e-5; 1.128592e-14
2.422614e-5; 1.224411e-14
2.422746e-5; 1.104233e-14
2.423171e-5; 1.122604e-14
2.423331e-5; 1.149698e-14
2.423572e-5; 1.098007e-14
2.423861e-5; 1.120160e-14
2.424123e-5; 9.550966e-15
2.424176e-5; 1.027302e-14
2.424550e-5; 1.095787e-14
2.424957e-5; 1.108918e-14
2.425333e-5; 1.138694e-14
2.425540e-5; 1.103268e-14
2.425851e-5; 1.128848e-14
2.425935e-5; 1.075275e-14
2.426318e-5; 1.138813e-14
2.426542e-5; 1.183869e-14
2.426738e-5; 1.111473e-14
2.426909e-5; 1.341693e-14
2.426996e-5; 1.192074e-14
2.427149e-5; 1.125952e-14
2.427412e-5; 1.139707e-14
2.427520e-5; 1.060581e-14
2.427797e-5; 9.158446e-15
2.428184e-5; 8.909568e-15
2.428507e-5; 1.028941e-14
2.428572e-5; 9.461263e-15
2.428968e-5; 9.262697e-15
2.429358e-5; 9.167923e-15
2.429749e-5; 9.304160e-15
2.430139e-5; 9.215059e-15
2.430417e-5; 9.365752e-15
2.430577e-5; 1.049212e-14
2.430645e-5; 1.208978e-14
2.430778e-5; 1.133587e-14
2.430897e-5; 1.150567e-14
2.431062e-5; 1.061954e-14
2.431346e-5; 9.416892e-15
2.431684e-5; 1.250474e-14
2.431713e-5; 1.108577e-14
2.431746e-5; 9.575155e-15
2.431820e-5; 1.034733e-14
2.432039e-5; 9.502702e-15
2.432145e-5; 1.061519e-14
2.432186e-5; 1.173734e-14
2.432198e-5; 1.306943e-14
2.432222e-5; 1.383683e-14
2.432315e-5; 1.859133e-14
