# QUAX
# https://arxiv.org/abs/2506.11589
# file extracted from the reference using https://apps.automeris.io/wpd/
# mass [eV]; photon coupling [GeV-1]
4.199075e-5; 1
4.199084e-5; 9.149325e-14
4.199144e-5; 7.660414e-14
4.199157e-5; 6.144030e-14
4.199188e-5; 5.286106e-14
4.199226e-5; 4.369185e-14
4.199274e-5; 3.623402e-14
4.199383e-5; 2.700130e-14
4.199384e-5; 3.134861e-14
4.199401e-5; 2.276975e-14
4.199483e-5; 3.504302e-14
4.199500e-5; 3.968234e-14
4.199599e-5; 4.761291e-14
4.199621e-5; 5.670448e-14
4.199683e-5; 4.734089e-14
4.199696e-5; 5.339375e-14
4.199715e-5; 6.331649e-14
4.199834e-5; 4.125890e-14
4.199880e-5; 4.683728e-14
4.199972e-5; 4.533420e-14
4.200009e-5; 3.557647e-14
4.200085e-5; 3.348475e-14
4.200095e-5; 5.218399e-14
4.200128e-5; 4.386744e-14
4.200214e-5; 5.902491e-14
4.200218e-5; 3.248547e-14
4.200235e-5; 5.339375e-14
4.200323e-5; 4.032408e-14
4.200350e-5; 3.057548e-14
4.200404e-5; 4.395031e-14
4.200523e-5; 3.647704e-14
4.200559e-5; 3.151601e-14
4.200561e-5; 4.404373e-14
4.200686e-5; 5.404006e-14
4.200686e-5; 6.144030e-14
4.200739e-5; 4.654439e-14
4.200787e-5; 4.114087e-14
4.200900e-5; 3.667083e-14
4.200937e-5; 6.082734e-14
4.200964e-5; 4.950673e-14
4.201008e-5; 4.225572e-14
4.201087e-5; 3.952351e-14
4.201100e-5; 4.927815e-14
4.201204e-5; 5.942078e-14
4.201211e-5; 4.989966e-14
4.201249e-5; 4.250359e-14
4.201335e-5; 3.151601e-14
4.201376e-5; 4.197421e-14
4.201392e-5; 2.708581e-14
4.201406e-5; 3.424904e-14
4.201438e-5; 2.165637e-14
4.201476e-5; 2.492004e-14
4.201516e-5; 3.035199e-14
4.201581e-5; 3.057548e-14
4.201594e-5; 1
4.201619e-5; 1
4.201657e-5; 3.151601e-14
4.201677e-5; 4.141680e-14
4.201733e-5; 3.248547e-14
4.201768e-5; 4.791394e-14
4.201821e-5; 4.032408e-14
4.201884e-5; 3.667083e-14
4.201927e-5; 4.734089e-14
4.201950e-5; 4.214289e-14
4.201985e-5; 5.103818e-14
4.202036e-5; 4.139542e-14
4.202109e-5; 5.502422e-14
4.202109e-5; 4.155545e-14
4.202128e-5; 4.829981e-14
4.202197e-5; 5.902491e-14
4.202211e-5; 4.334279e-14
4.202228e-5; 3.952351e-14
4.202232e-5; 4.960865e-14
4.202291e-5; 4.197421e-14
4.202316e-5; 5.863168e-14
4.202358e-5; 3.896157e-14
4.202408e-5; 4.616897e-14
4.202420e-5; 4.141680e-14
4.202472e-5; 3.557647e-14
4.202491e-5; 4.533420e-14
4.202529e-5; 3.299701e-14
4.202543e-5; 3.484282e-14
4.202558e-5; 2.810623e-14
4.202604e-5; 3.896157e-14
4.202663e-5; 3.941045e-14
4.202746e-5; 4.563205e-14
4.202780e-5; 6.022050e-14
4.202830e-5; 3.873883e-14
4.202842e-5; 4.686860e-14
4.202868e-5; 5.259672e-14
4.202939e-5; 6.022050e-14
4.202955e-5; 4.616897e-14
4.202980e-5; 5.286106e-14
4.202993e-5; 3.796973e-14
4.203021e-5; 5.604427e-14
4.203040e-5; 4.672872e-14
4.203078e-5; 5.604427e-14
4.203125e-5; 4.457686e-14
4.203142e-5; 5.027631e-14
4.203151e-5; 5.785306e-14
4.203210e-5; 4.672872e-14
4.203212e-5; 3.684462e-14
4.203267e-5; 3.451476e-14
4.203375e-5; 5.363221e-14
4.203389e-5; 4.314767e-14
4.203554e-5; 5.068122e-14
4.203557e-5; 5.902491e-14
4.203601e-5; 4.282442e-14
4.203645e-5; 4.547979e-14
4.203699e-5; 5.357250e-14
4.203707e-5; 6.205944e-14
4.203758e-5; 4.369185e-14
4.203783e-5; 4.734089e-14
4.203820e-5; 4.282442e-14
4.203873e-5; 3.781775e-14
4.203952e-5; 3.266782e-14
4.203961e-5; 2.657159e-14
4.204040e-5; 3.299701e-14
4.204056e-5; 3.746550e-14
4.204131e-5; 4.525236e-14
4.204146e-5; 3.873883e-14
4.204192e-5; 5.095296e-14
4.204203e-5; 5.961971e-14
4.204253e-5; 4.547979e-14
4.204259e-5; 5.502422e-14
4.204272e-5; 3.952351e-14
4.204309e-5; 4.977473e-14
4.204309e-5; 4.197421e-14
4.204340e-5; 6.999416e-14
4.204359e-5; 6.144030e-14
4.204378e-5; 6.459900e-14
4.204409e-5; 5.198504e-14
4.204441e-5; 4.457686e-14
4.204497e-5; 3.835235e-14
4.204505e-5; 3.393651e-14
4.204547e-5; 2.782583e-14
4.204547e-5; 2.346506e-14
4.204585e-5; 2.925638e-14
4.204604e-5; 9.647297e-14
4.204629e-5; 8.383835e-14
4.204694e-5; 3.480956e-14
4.204716e-5; 4.331797e-14
4.204723e-5; 5.129469e-14
4.204804e-5; 5.233370e-14
4.204804e-5; 4.413214e-14
4.204867e-5; 6.331649e-14
4.204891e-5; 6.870287e-14
4.204955e-5; 5.961971e-14
4.204974e-5; 6.929586e-14
4.205005e-5; 5.286106e-14
4.205005e-5; 4.282442e-14
4.205061e-5; 4.155545e-14
4.205117e-5; 5.027631e-14
4.205136e-5; 3.721590e-14
4.205143e-5; 6.144030e-14
4.205287e-5; 4.197421e-14
4.205331e-5; 6.395453e-14
4.205337e-5; 3.647704e-14
4.205339e-5; 5.207199e-14
4.205442e-5; 5.902491e-14
4.205516e-5; 4.547979e-14
4.205531e-5; 3.873883e-14
4.205600e-5; 5.233370e-14
4.205610e-5; 5.831899e-14
4.205676e-5; 7.660414e-14
4.205713e-5; 7.105482e-14
4.205788e-5; 5.233370e-14
4.205845e-5; 6.363471e-14
4.205859e-5; 5.447527e-14
4.205901e-5; 6.144030e-14
4.205976e-5; 5.339375e-14
4.205999e-5; 4.619470e-14
4.206052e-5; 3.912920e-14
4.206146e-5; 2.853214e-14
4.206212e-5; 3.560974e-14
4.206244e-5; 4.005544e-14
4.206287e-5; 4.710415e-14
4.206365e-5; 3.366538e-14
4.206396e-5; 4.927815e-14
4.206407e-5; 4.225572e-14
4.206499e-5; 5.811145e-14
4.206587e-5; 5.052900e-14
4.206603e-5; 3.952351e-14
4.206607e-5; 4.311163e-14
4.206722e-5; 5.850119e-14
4.206766e-5; 5.129469e-14
4.206766e-5; 6.792010e-14
4.206848e-5; 9.053723e-14
4.206904e-5; 1.167189e-13
4.206923e-5; 1.384100e-13
4.206957e-5; 1.002196e-13
4.206973e-5; 8.903683e-14
4.207034e-5; 6.226720e-14
4.207113e-5; 4.005544e-14
